Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Edge 16,,2018-11-23 11:53:08,2018-11-23 11:53:35,27.036s,PASSED
,,,,,,
Test Cases/New Test Case,Edge 16,,2018-11-23 11:53:09,2018-11-23 11:53:35,25.461s,PASSED
openBrowser,Edge 16,,2018-11-23 11:53:11,2018-11-23 11:53:17,6.265s,PASSED
navigateToUrl,Edge 16,,2018-11-23 11:53:17,2018-11-23 11:53:19,1.463s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(myData).getRowNumbers(), (row++)])",Edge 16,,2018-11-23 11:53:19,2018-11-23 11:53:24,5.438s,PASSED
closeBrowser,Edge 16,,2018-11-23 11:53:24,2018-11-23 11:53:35,10.439s,PASSED
