Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2018-11-23 09:25:05,2018-11-23 09:25:16,10.592s,FAILED
,,,,,,
Test Cases/New Test Case,,,2018-11-23 09:25:06,2018-11-23 09:25:16,9.751s,FAILED
openBrowser,,,2018-11-23 09:25:07,2018-11-23 09:25:13,6.643s,FAILED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(myData).getRowNumbers(), (row++)])",,,2018-11-23 09:25:13,2018-11-23 09:25:15,1.787s,FAILED
closeBrowser,,,2018-11-23 09:25:15,2018-11-23 09:25:16,0.557s,PASSED
