Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 70.0.3538.110,,2018-11-26 10:45:50,2018-11-26 10:46:21,30.355s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 70.0.3538.110,,2018-11-26 10:45:52,2018-11-26 10:46:21,28.529s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-26 10:45:54,2018-11-26 10:46:02,7.765s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-26 10:46:02,2018-11-26 10:46:05,3.006s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(myData).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-11-26 10:46:05,2018-11-26 10:46:20,14.991s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-26 10:46:20,2018-11-26 10:46:21,0.823s,PASSED
