Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2018-11-23 10:45:40,2018-11-23 10:46:45,1m - 5.482s,FAILED
,,,,,,
Test Cases/New Test Case,,,2018-11-23 10:45:40,2018-11-23 10:46:45,1m - 4.806s,FAILED
openBrowser,,,2018-11-23 10:45:41,2018-11-23 10:46:43,1m - 2.239s,FAILED
navigateToUrl,,,2018-11-23 10:46:43,2018-11-23 10:46:43,0.088s,FAILED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(myData).getRowNumbers(), (row++)])",,,2018-11-23 10:46:43,2018-11-23 10:46:45,1.924s,FAILED
closeBrowser,,,2018-11-23 10:46:45,2018-11-23 10:46:45,0.023s,PASSED
