Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2018-11-20 15:52:09,2018-11-20 15:53:15,1m - 6.165s,FAILED
,,,,,,
Test Cases/New Test Case,,,2018-11-20 15:52:09,2018-11-20 15:53:15,1m - 5.483s,FAILED
openBrowser,,,2018-11-20 15:52:10,2018-11-20 15:53:13,1m - 3.198s,FAILED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(myData).getRowNumbers(), (row++)])",,,2018-11-20 15:53:13,2018-11-20 15:53:15,1.439s,FAILED
closeBrowser,,,2018-11-20 15:53:15,2018-11-20 15:53:15,0.017s,PASSED
