Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 70.0.3538.110,,2018-11-26 13:37:30,2018-11-26 13:38:06,36.113s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 70.0.3538.110,,2018-11-26 13:37:31,2018-11-26 13:38:06,34.453s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-26 13:37:33,2018-11-26 13:37:42,8.722s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-26 13:37:42,2018-11-26 13:37:45,2.660s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(myData).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-11-26 13:37:45,2018-11-26 13:38:05,19.719s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-26 13:38:05,2018-11-26 13:38:06,1.272s,PASSED
