Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 70.0.3538.110,,2018-11-23 11:27:12,2018-11-23 11:27:28,15.430s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 70.0.3538.110,,2018-11-23 11:27:13,2018-11-23 11:27:28,14.809s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-23 11:27:13,2018-11-23 11:27:18,4.056s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-23 11:27:18,2018-11-23 11:27:19,1.452s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(myData).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-11-23 11:27:19,2018-11-23 11:27:27,7.772s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-23 11:27:27,2018-11-23 11:27:28,1.026s,PASSED
