Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2018-11-23 10:53:10,2018-11-23 10:53:12,1.702s,ERROR
,,,,,,
Test Cases/New Test Case,,,2018-11-23 10:53:11,2018-11-23 10:53:12,0.426s,ERROR
