Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2018-11-23 09:48:06,2018-11-23 09:49:12,1m - 5.829s,FAILED
,,,,,,
Test Cases/New Test Case,,,2018-11-23 09:48:07,2018-11-23 09:49:12,1m - 4.775s,FAILED
openBrowser,,,2018-11-23 09:48:08,2018-11-23 09:49:10,1m - 2.447s,FAILED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(myData).getRowNumbers(), (row++)])",,,2018-11-23 09:49:10,2018-11-23 09:49:12,1.629s,FAILED
closeBrowser,,,2018-11-23 09:49:12,2018-11-23 09:49:12,0.019s,PASSED
