Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Edge 16,,2018-11-26 13:47:24,2018-11-26 13:47:57,32.349s,FAILED
,,,,,,
Test Cases/New Test Case,Edge 16,,2018-11-26 13:47:26,2018-11-26 13:47:57,30.689s,FAILED
openBrowser,Edge 16,,2018-11-26 13:47:27,2018-11-26 13:47:38,10.611s,PASSED
navigateToUrl,Edge 16,,2018-11-26 13:47:38,2018-11-26 13:47:41,3.096s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(myData).getRowNumbers(), (row++)])",Edge 16,,2018-11-26 13:47:41,2018-11-26 13:47:52,10.720s,FAILED
closeBrowser,Edge 16,,2018-11-26 13:47:52,2018-11-26 13:47:57,4.971s,PASSED
