Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2018-11-23 10:40:02,2018-11-23 10:41:07,1m - 5.708s,FAILED
,,,,,,
Test Cases/New Test Case,,,2018-11-23 10:40:02,2018-11-23 10:41:07,1m - 5.087s,FAILED
openBrowser,,,2018-11-23 10:40:03,2018-11-23 10:41:06,1m - 2.667s,FAILED
navigateToUrl,,,2018-11-23 10:41:06,2018-11-23 10:41:06,0.042s,FAILED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(myData).getRowNumbers(), (row++)])",,,2018-11-23 10:41:06,2018-11-23 10:41:07,1.426s,FAILED
closeBrowser,,,2018-11-23 10:41:07,2018-11-23 10:41:07,0.021s,PASSED
