Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,Chrome 70.0.3538.110,,2018-11-23 11:48:07,2018-11-23 11:48:22,14.746s,PASSED
,,,,,,
Test Cases/New Test Case,Chrome 70.0.3538.110,,2018-11-23 11:48:08,2018-11-23 11:48:22,14.070s,PASSED
openBrowser,Chrome 70.0.3538.110,,2018-11-23 11:48:09,2018-11-23 11:48:13,4.908s,PASSED
navigateToUrl,Chrome 70.0.3538.110,,2018-11-23 11:48:13,2018-11-23 11:48:15,1.358s,PASSED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(myData).getRowNumbers(), (row++)])",Chrome 70.0.3538.110,,2018-11-23 11:48:15,2018-11-23 11:48:21,6.407s,PASSED
closeBrowser,Chrome 70.0.3538.110,,2018-11-23 11:48:21,2018-11-23 11:48:22,0.696s,PASSED
