Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2018-11-23 09:44:36,2018-11-23 09:45:43,1m - 6.409s,FAILED
,,,,,,
Test Cases/New Test Case,,,2018-11-23 09:44:37,2018-11-23 09:45:43,1m - 5.603s,FAILED
openBrowser,,,2018-11-23 09:44:38,2018-11-23 09:45:41,1m - 3.360s,FAILED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(myData).getRowNumbers(), (row++)])",,,2018-11-23 09:45:41,2018-11-23 09:45:42,1.413s,FAILED
closeBrowser,,,2018-11-23 09:45:42,2018-11-23 09:45:42,0.019s,PASSED
