Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2018-11-23 10:54:47,2018-11-23 10:54:48,1.279s,ERROR
,,,,,,
Test Cases/New Test Case,,,2018-11-23 10:54:47,2018-11-23 10:54:48,0.460s,ERROR
