Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
TestSuite1,,,2018-11-23 10:12:20,2018-11-23 10:13:26,1m - 5.948s,FAILED
,,,,,,
Test Cases/New Test Case,,,2018-11-23 10:12:21,2018-11-23 10:13:26,1m - 4.938s,FAILED
openBrowser,,,2018-11-23 10:12:21,2018-11-23 10:13:24,1m - 2.591s,FAILED
navigateToUrl,,,2018-11-23 10:13:24,2018-11-23 10:13:24,0.043s,FAILED
"Statement - For ([row = 1, row <= com.kms.katalon.core.testdata.TestDataFactory.findTestData(myData).getRowNumbers(), (row++)])",,,2018-11-23 10:13:24,2018-11-23 10:13:25,1.454s,FAILED
closeBrowser,,,2018-11-23 10:13:25,2018-11-23 10:13:25,0.017s,PASSED
